feature,details,dtype,missing_count,missing_rate,nunique,min,max,mean,median
NAME_EDUCATION_TYPE,Level of highest education the client achieved,str,0,0.0,5,,,,
NAME_HOUSING_TYPE,"What is the housing situation of the client (renting, living with parents, ...)",str,0,0.0,6,,,,
REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region),float64,0,0.0,81,0.00029,0.072508,0.020854146081970223,0.01885
HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan,int64,0,0.0,24,0.0,23.0,12.0584533836298,12.0
REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)",int64,0,0.0,2,0.0,1.0,0.015251536535397223,0.0
REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)",int64,0,0.0,2,0.0,1.0,0.05134792364475952,0.0
LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)",int64,0,0.0,2,0.0,1.0,0.04109893445199614,0.0
REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)",int64,0,0.0,2,0.0,1.0,0.07789990569412376,0.0
REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)",int64,0,0.0,2,0.0,1.0,0.23008465849349072,0.0
LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)",int64,0,0.0,2,0.0,1.0,0.17966895385515919,0.0
ORGANIZATION_TYPE,Type of organization where client works,str,0,0.0,58,,,,
FLAG_DOCUMENT_18,Did client provide document 18,int64,0,0.0,2,0.0,1.0,0.008059358503246506,0.0
FLAG_DOCUMENT_9,Did client provide document 9,int64,0,0.0,2,0.0,1.0,0.0038047543169327826,0.0
FLAG_DOCUMENT_8,Did client provide document 8,int64,0,0.0,2,0.0,1.0,0.08167214074339046,0.0
FLAG_DOCUMENT_7,Did client provide document 7,int64,0,0.0,2,0.0,1.0,0.0001571764603861121,0.0
FLAG_DOCUMENT_6,Did client provide document 6,int64,0,0.0,2,0.0,1.0,0.0879320997691132,0.0
FLAG_DOCUMENT_5,Did client provide document 5,int64,0,0.0,2,0.0,1.0,0.015051001051456321,0.0
FLAG_DOCUMENT_4,Did client provide document 4,int64,0,0.0,2,0.0,1.0,9.213792505392779e-05,0.0
FLAG_DOCUMENT_3,Did client provide document 3,int64,0,0.0,2,0.0,1.0,0.7100582094891223,1.0
FLAG_DOCUMENT_2,Did client provide document 2,int64,0,0.0,2,0.0,1.0,5.419877944348693e-05,0.0
FLAG_DOCUMENT_17,Did client provide document 17,int64,0,0.0,2,0.0,1.0,0.00027099389721743465,0.0
FLAG_DOCUMENT_16,Did client provide document 16,int64,0,0.0,2,0.0,1.0,0.010010514563212036,0.0
FLAG_DOCUMENT_15,Did client provide document 15,int64,0,0.0,2,0.0,1.0,0.0011164948565358308,0.0
FLAG_DOCUMENT_14,Did client provide document 14,int64,0,0.0,2,0.0,1.0,0.0030188720150022223,0.0
FLAG_DOCUMENT_13,Did client provide document 13,int64,0,0.0,2,0.0,1.0,0.0033440646916631438,0.0
FLAG_DOCUMENT_12,Did client provide document 12,int64,0,0.0,2,0.0,1.0,5.419877944348693e-06,0.0
FLAG_DOCUMENT_11,Did client provide document 11,int64,0,0.0,2,0.0,1.0,0.0037776549272110394,0.0
FLAG_DOCUMENT_10,Did client provide document 10,int64,0,0.0,2,0.0,1.0,1.0839755888697386e-05,0.0
NAME_FAMILY_STATUS_ANOMALY,Flag equal to 1 when NAME_FAMILY_STATUS was Unknown before cleaning; 0 otherwise.,int8,0,0.0,2,0.0,1.0,5.419877944348693e-06,0.0
FLAG_DOCUMENT_21,Did client provide document 21,int64,0,0.0,2,0.0,1.0,0.000336032432549619,0.0
FLAG_DOCUMENT_20,Did client provide document 20,int64,0,0.0,2,0.0,1.0,0.0005094685267687772,0.0
DAYS_EMPLOYED_ANOMALY,Flag equal to 1 when DAYS_EMPLOYED contained the 365243 sentinel before cleaning; 0 otherwise.,int8,0,0.0,2,0.0,1.0,0.18007544470098533,0.0
CODE_GENDER_ANOMALY,Flag equal to 1 when CODE_GENDER was XNA before cleaning; 0 otherwise.,int8,0,0.0,2,0.0,1.0,1.0839755888697386e-05,0.0
CREDIT_INCOME_RATIO,AMT_CREDIT divided by AMT_INCOME_TOTAL.,float64,0,0.0,35778,0.004807615384615385,49.2272,3.9569011002445773,3.2610240384615383
FLAG_DOCUMENT_19,Did client provide document 19,int64,0,0.0,2,0.0,1.0,0.0006070263297670536,0.0
