id,name,stage,source_family,details
173,CREDIT_BUREAU_B_1__dpdmax_851P__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `dpdmax_851P`. Source meaning: Maximal past due days for active contracts in the credit bureau.
174,CREDIT_BUREAU_B_1__dpdmax_851P__MAX,B,credit_bureau_b_1,maximum of `dpdmax_851P`. Source meaning: Maximal past due days for active contracts in the credit bureau.
175,CREDIT_BUREAU_B_1__dpdmaxdatemonth_804T__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `dpdmaxdatemonth_804T`. Source meaning: Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.
176,CREDIT_BUREAU_B_1__dpdmaxdatemonth_804T__MAX,B,credit_bureau_b_1,maximum of `dpdmaxdatemonth_804T`. Source meaning: Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.
177,CREDIT_BUREAU_B_1__dpdmaxdateyear_742T__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `dpdmaxdateyear_742T`. Source meaning: Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.
178,CREDIT_BUREAU_B_1__dpdmaxdateyear_742T__MAX,B,credit_bureau_b_1,maximum of `dpdmaxdateyear_742T`. Source meaning: Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.
179,CREDIT_BUREAU_B_1__installmentamount_644A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `installmentamount_644A`. Source meaning: Instalment amount of a closed and secured credit contract.
180,CREDIT_BUREAU_B_1__installmentamount_644A__MAX,B,credit_bureau_b_1,maximum of `installmentamount_644A`. Source meaning: Instalment amount of a closed and secured credit contract.
181,CREDIT_BUREAU_B_1__installmentamount_833A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `installmentamount_833A`. Source meaning: Instalment amount for a secured and active contract in credit bureau.
182,CREDIT_BUREAU_B_1__installmentamount_833A__MAX,B,credit_bureau_b_1,maximum of `installmentamount_833A`. Source meaning: Instalment amount for a secured and active contract in credit bureau.
183,CREDIT_BUREAU_B_1__instlamount_892A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `instlamount_892A`. Source meaning: Instalment amount for active credit contract.
184,CREDIT_BUREAU_B_1__instlamount_892A__MAX,B,credit_bureau_b_1,maximum of `instlamount_892A`. Source meaning: Instalment amount for active credit contract.
185,CREDIT_BUREAU_B_1__maxdebtpduevalodued_3940955A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `maxdebtpduevalodued_3940955A`. Source meaning: Days past due at the time of the maximum debt.
186,CREDIT_BUREAU_B_1__maxdebtpduevalodued_3940955A__MAX,B,credit_bureau_b_1,maximum of `maxdebtpduevalodued_3940955A`. Source meaning: Days past due at the time of the maximum debt.
187,CREDIT_BUREAU_B_1__overdueamountmax_950A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `overdueamountmax_950A`. Source meaning: Maximal past due amount for active contract.
188,CREDIT_BUREAU_B_1__overdueamountmax_950A__MAX,B,credit_bureau_b_1,maximum of `overdueamountmax_950A`. Source meaning: Maximal past due amount for active contract.
189,CREDIT_BUREAU_B_1__pmtdaysoverdue_1135P__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `pmtdaysoverdue_1135P`. Source meaning: Number of days past due for existing contracts in the credit bureau.
190,CREDIT_BUREAU_B_1__pmtdaysoverdue_1135P__MAX,B,credit_bureau_b_1,maximum of `pmtdaysoverdue_1135P`. Source meaning: Number of days past due for existing contracts in the credit bureau.
191,CREDIT_BUREAU_B_1__residualamount_1093A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `residualamount_1093A`. Source meaning: Residual amount of closed guarantee contract.
192,CREDIT_BUREAU_B_1__residualamount_1093A__MAX,B,credit_bureau_b_1,maximum of `residualamount_1093A`. Source meaning: Residual amount of closed guarantee contract.
193,CREDIT_BUREAU_B_1__residualamount_127A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `residualamount_127A`. Source meaning: Residual amount of active guarantee contract.
194,CREDIT_BUREAU_B_1__residualamount_127A__MAX,B,credit_bureau_b_1,maximum of `residualamount_127A`. Source meaning: Residual amount of active guarantee contract.
195,CREDIT_BUREAU_B_1__residualamount_3940956A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `residualamount_3940956A`. Source meaning: Residual amount for the active contract.
196,CREDIT_BUREAU_B_1__residualamount_3940956A__MAX,B,credit_bureau_b_1,maximum of `residualamount_3940956A`. Source meaning: Residual amount for the active contract.
197,CREDIT_BUREAU_B_1__totalamount_503A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `totalamount_503A`. Source meaning: Total amount of active secured credit for a client.
198,CREDIT_BUREAU_B_1__totalamount_503A__MAX,B,credit_bureau_b_1,maximum of `totalamount_503A`. Source meaning: Total amount of active secured credit for a client.
199,CREDIT_BUREAU_B_1__totalamount_881A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `totalamount_881A`. Source meaning: Total amount of secured credit from closed contracts.
200,CREDIT_BUREAU_B_1__totalamount_881A__MAX,B,credit_bureau_b_1,maximum of `totalamount_881A`. Source meaning: Total amount of secured credit from closed contracts.
201,DEBITCARD_1__ROW_COUNT,B,debitcard_1,Number of raw family rows linked to the case.
202,DEBITCARD_1__last180dayaveragebalance_704A__MEAN,B,debitcard_1,global non-null mean reconstructed from partial sums/counts of `last180dayaveragebalance_704A`. Source meaning: Average balance on debit card in the last 180 days.
203,DEBITCARD_1__last180dayaveragebalance_704A__MAX,B,debitcard_1,maximum of `last180dayaveragebalance_704A`. Source meaning: Average balance on debit card in the last 180 days.
204,DEBITCARD_1__last180dayturnover_1134A__MEAN,B,debitcard_1,global non-null mean reconstructed from partial sums/counts of `last180dayturnover_1134A`. Source meaning: Debit card's turnover within the last 180 days.
205,DEBITCARD_1__last180dayturnover_1134A__MAX,B,debitcard_1,maximum of `last180dayturnover_1134A`. Source meaning: Debit card's turnover within the last 180 days.
206,DEBITCARD_1__last30dayturnover_651A__MEAN,B,debitcard_1,global non-null mean reconstructed from partial sums/counts of `last30dayturnover_651A`. Source meaning: Debit card turnover for the last 30 days.
207,DEBITCARD_1__last30dayturnover_651A__MAX,B,debitcard_1,maximum of `last30dayturnover_651A`. Source meaning: Debit card turnover for the last 30 days.
208,DEBITCARD_1__openingdate_857D__MIN_GAP,B,debitcard_1,minimum decision-date gap of `openingdate_857D`. Source meaning: Debit card opening date.
209,DEBITCARD_1__openingdate_857D__MAX_GAP,B,debitcard_1,maximum decision-date gap of `openingdate_857D`. Source meaning: Debit card opening date.
210,DEPOSIT_1__ROW_COUNT,B,deposit_1,Number of raw family rows linked to the case.
211,DEPOSIT_1__amount_416A__MEAN,B,deposit_1,global non-null mean reconstructed from partial sums/counts of `amount_416A`. Source meaning: Deposit amount.
212,DEPOSIT_1__amount_416A__MAX,B,deposit_1,maximum of `amount_416A`. Source meaning: Deposit amount.
213,DEPOSIT_1__contractenddate_991D__MIN_GAP,B,deposit_1,minimum decision-date gap of `contractenddate_991D`. Source meaning: End date of deposit contract.
214,DEPOSIT_1__contractenddate_991D__MAX_GAP,B,deposit_1,maximum decision-date gap of `contractenddate_991D`. Source meaning: End date of deposit contract.
215,DEPOSIT_1__openingdate_313D__MIN_GAP,B,deposit_1,minimum decision-date gap of `openingdate_313D`. Source meaning: Deposit account opening date.
216,DEPOSIT_1__openingdate_313D__MAX_GAP,B,deposit_1,maximum decision-date gap of `openingdate_313D`. Source meaning: Deposit account opening date.
217,OTHER_1__ROW_COUNT,B,other_1,Number of raw family rows linked to the case.
218,OTHER_1__amtdebitincoming_4809443A__MEAN,B,other_1,global non-null mean reconstructed from partial sums/counts of `amtdebitincoming_4809443A`. Source meaning: Incoming debit card transactions amount.
219,OTHER_1__amtdebitincoming_4809443A__MAX,B,other_1,maximum of `amtdebitincoming_4809443A`. Source meaning: Incoming debit card transactions amount.
220,OTHER_1__amtdebitoutgoing_4809440A__MEAN,B,other_1,global non-null mean reconstructed from partial sums/counts of `amtdebitoutgoing_4809440A`. Source meaning: Outgoing debit card transactions amount.
221,OTHER_1__amtdebitoutgoing_4809440A__MAX,B,other_1,maximum of `amtdebitoutgoing_4809440A`. Source meaning: Outgoing debit card transactions amount.
222,OTHER_1__amtdepositbalance_4809441A__MEAN,B,other_1,global non-null mean reconstructed from partial sums/counts of `amtdepositbalance_4809441A`. Source meaning: Deposit balance of client.
223,OTHER_1__amtdepositbalance_4809441A__MAX,B,other_1,maximum of `amtdepositbalance_4809441A`. Source meaning: Deposit balance of client.
224,OTHER_1__amtdepositincoming_4809444A__MEAN,B,other_1,global non-null mean reconstructed from partial sums/counts of `amtdepositincoming_4809444A`. Source meaning: Amount of incoming deposits to client's account.
225,OTHER_1__amtdepositincoming_4809444A__MAX,B,other_1,maximum of `amtdepositincoming_4809444A`. Source meaning: Amount of incoming deposits to client's account.
226,OTHER_1__amtdepositoutgoing_4809442A__MEAN,B,other_1,global non-null mean reconstructed from partial sums/counts of `amtdepositoutgoing_4809442A`. Source meaning: Amount of outgoing deposits from client's account.
227,OTHER_1__amtdepositoutgoing_4809442A__MAX,B,other_1,maximum of `amtdepositoutgoing_4809442A`. Source meaning: Amount of outgoing deposits from client's account.
228,PERSON_1__ROW_COUNT,B,person_1,Number of raw family rows linked to the case.
229,PERSON_1__childnum_185L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `childnum_185L`. Source meaning: Number of children of the applicant.
230,PERSON_1__childnum_185L__MAX,B,person_1,maximum of `childnum_185L`. Source meaning: Number of children of the applicant.
231,PERSON_1__contaddr_matchlist_1032L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `contaddr_matchlist_1032L`. Source meaning: Indicates whether the contact address is found in a code list.
232,PERSON_1__contaddr_matchlist_1032L__MAX,B,person_1,maximum of `contaddr_matchlist_1032L`. Source meaning: Indicates whether the contact address is found in a code list.
233,PERSON_1__contaddr_smempladdr_334L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `contaddr_smempladdr_334L`. Source meaning: Indicates whether the contact address is the same as the employment address.
234,PERSON_1__contaddr_smempladdr_334L__MAX,B,person_1,maximum of `contaddr_smempladdr_334L`. Source meaning: Indicates whether the contact address is the same as the employment address.
235,PERSON_1__isreference_387L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `isreference_387L`. Source meaning: Flag indicating whether the person is a reference contact.
236,PERSON_1__isreference_387L__MAX,B,person_1,maximum of `isreference_387L`. Source meaning: Flag indicating whether the person is a reference contact.
237,PERSON_1__mainoccupationinc_384A__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `mainoccupationinc_384A`. Source meaning: Amount of the main income of the client.
238,PERSON_1__mainoccupationinc_384A__MAX,B,person_1,maximum of `mainoccupationinc_384A`. Source meaning: Amount of the main income of the client.
239,PERSON_1__personindex_1023L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `personindex_1023L`. Source meaning: Order of the person specified on the application form.
240,PERSON_1__personindex_1023L__MAX,B,person_1,maximum of `personindex_1023L`. Source meaning: Order of the person specified on the application form.
241,PERSON_1__persontype_1072L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `persontype_1072L`. Source meaning: Person type.
242,PERSON_1__persontype_1072L__MAX,B,person_1,maximum of `persontype_1072L`. Source meaning: Person type.
243,PERSON_1__persontype_792L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `persontype_792L`. Source meaning: Person type.
244,PERSON_1__persontype_792L__MAX,B,person_1,maximum of `persontype_792L`. Source meaning: Person type.
245,PERSON_1__remitter_829L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `remitter_829L`. Source meaning: Flag indicating whether the client is a remitter.
246,PERSON_1__remitter_829L__MAX,B,person_1,maximum of `remitter_829L`. Source meaning: Flag indicating whether the client is a remitter.
247,PERSON_1__safeguarantyflag_411L__MEAN,B,person_1,global non-null mean reconstructed from partial sums/counts of `safeguarantyflag_411L`. Source meaning: Flag indicating if client is using a flexible product with additional safeguard garanty.
248,PERSON_1__safeguarantyflag_411L__MAX,B,person_1,maximum of `safeguarantyflag_411L`. Source meaning: Flag indicating if client is using a flexible product with additional safeguard garanty.
249,PERSON_1__birth_259D__MIN_GAP,B,person_1,minimum decision-date gap of `birth_259D`. Source meaning: Date of birth of the person.
250,PERSON_1__birth_259D__MAX_GAP,B,person_1,maximum decision-date gap of `birth_259D`. Source meaning: Date of birth of the person.
251,PERSON_1__birthdate_87D__MIN_GAP,B,person_1,minimum decision-date gap of `birthdate_87D`. Source meaning: Birth date of the person.
252,PERSON_1__birthdate_87D__MAX_GAP,B,person_1,maximum decision-date gap of `birthdate_87D`. Source meaning: Birth date of the person.
253,PERSON_1__empl_employedfrom_271D__MIN_GAP,B,person_1,minimum decision-date gap of `empl_employedfrom_271D`. Source meaning: Start date of employment.
254,PERSON_1__empl_employedfrom_271D__MAX_GAP,B,person_1,maximum decision-date gap of `empl_employedfrom_271D`. Source meaning: Start date of employment.
255,PERSON_1__contaddr_district_15M__NUNIQUE,B,person_1,sum of per-partition distinct counts of `contaddr_district_15M`. Source meaning: Zip code of a contact person's address.
256,PERSON_1__contaddr_zipcode_807M__NUNIQUE,B,person_1,sum of per-partition distinct counts of `contaddr_zipcode_807M`. Source meaning: Zip code of contact address.
257,PERSON_1__education_927M__NUNIQUE,B,person_1,sum of per-partition distinct counts of `education_927M`. Source meaning: Education level of the person.
258,PERSON_1__empl_employedtotal_800L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `empl_employedtotal_800L`. Source meaning: Employment length of a person.
259,PERSON_1__empl_industry_691L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `empl_industry_691L`. Source meaning: Employment Industry of the person.
260,PERSON_1__empladdr_district_926M__NUNIQUE,B,person_1,sum of per-partition distinct counts of `empladdr_district_926M`. Source meaning: District where the employer's address is located.
261,PERSON_1__empladdr_zipcode_114M__NUNIQUE,B,person_1,sum of per-partition distinct counts of `empladdr_zipcode_114M`. Source meaning: Zipcode of employer's address.
262,PERSON_1__familystate_447L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `familystate_447L`. Source meaning: Family state of the person.
263,PERSON_1__gender_992L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `gender_992L`. Source meaning: Gender of a person.
264,PERSON_1__housetype_905L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `housetype_905L`. Source meaning: House type of the person.
265,PERSON_1__housingtype_772L__NUNIQUE,B,person_1,sum of per-partition distinct counts of `housingtype_772L`. Source meaning: Type of housing of the person.
266,TAX_REGISTRY_A_1__ROW_COUNT,B,tax_registry_a_1,Number of raw family rows linked to the case.
267,TAX_REGISTRY_A_1__amount_4527230A__MEAN,B,tax_registry_a_1,global non-null mean reconstructed from partial sums/counts of `amount_4527230A`. Source meaning: Tax deductions amount tracked by the government registry.
268,TAX_REGISTRY_A_1__amount_4527230A__MAX,B,tax_registry_a_1,maximum of `amount_4527230A`. Source meaning: Tax deductions amount tracked by the government registry.
269,TAX_REGISTRY_A_1__recorddate_4527225D__MIN_GAP,B,tax_registry_a_1,minimum decision-date gap of `recorddate_4527225D`. Source meaning: Date of tax deduction record.
270,TAX_REGISTRY_A_1__recorddate_4527225D__MAX_GAP,B,tax_registry_a_1,maximum decision-date gap of `recorddate_4527225D`. Source meaning: Date of tax deduction record.
271,TAX_REGISTRY_A_1__name_4527232M__NUNIQUE,B,tax_registry_a_1,sum of per-partition distinct counts of `name_4527232M`. Source meaning: Name of employer.
272,TAX_REGISTRY_B_1__ROW_COUNT,B,tax_registry_b_1,Number of raw family rows linked to the case.
273,TAX_REGISTRY_B_1__amount_4917619A__MEAN,B,tax_registry_b_1,global non-null mean reconstructed from partial sums/counts of `amount_4917619A`. Source meaning: Tax deductions amount tracked by the government registry.
274,TAX_REGISTRY_B_1__amount_4917619A__MAX,B,tax_registry_b_1,maximum of `amount_4917619A`. Source meaning: Tax deductions amount tracked by the government registry.
275,TAX_REGISTRY_B_1__deductiondate_4917603D__MIN_GAP,B,tax_registry_b_1,minimum decision-date gap of `deductiondate_4917603D`. Source meaning: Tax deduction date.
276,TAX_REGISTRY_B_1__deductiondate_4917603D__MAX_GAP,B,tax_registry_b_1,maximum decision-date gap of `deductiondate_4917603D`. Source meaning: Tax deduction date.
277,TAX_REGISTRY_B_1__name_4917606M__NUNIQUE,B,tax_registry_b_1,sum of per-partition distinct counts of `name_4917606M`. Source meaning: Name of employer.
278,TAX_REGISTRY_C_1__ROW_COUNT,B,tax_registry_c_1,Number of raw family rows linked to the case.
279,TAX_REGISTRY_C_1__pmtamount_36A__MEAN,B,tax_registry_c_1,global non-null mean reconstructed from partial sums/counts of `pmtamount_36A`. Source meaning: Tax deductions amount for credit bureau payments.
280,TAX_REGISTRY_C_1__pmtamount_36A__MAX,B,tax_registry_c_1,maximum of `pmtamount_36A`. Source meaning: Tax deductions amount for credit bureau payments.
281,TAX_REGISTRY_C_1__processingdate_168D__MIN_GAP,B,tax_registry_c_1,minimum decision-date gap of `processingdate_168D`. Source meaning: Date when the tax deduction is processed.
282,TAX_REGISTRY_C_1__processingdate_168D__MAX_GAP,B,tax_registry_c_1,maximum decision-date gap of `processingdate_168D`. Source meaning: Date when the tax deduction is processed.
283,TAX_REGISTRY_C_1__employername_160M__NUNIQUE,B,tax_registry_c_1,sum of per-partition distinct counts of `employername_160M`. Source meaning: Employer's name.
284,APPLPREV_2__ROW_COUNT,C,applprev_2,Number of raw family rows linked to the case.
285,APPLPREV_2__cacccardblochreas_147M__NUNIQUE,C,applprev_2,sum of per-partition distinct counts of `cacccardblochreas_147M`. Source meaning: Card blocking reason.
286,APPLPREV_2__conts_type_509L__NUNIQUE,C,applprev_2,sum of per-partition distinct counts of `conts_type_509L`. Source meaning: Person contact type in previous application.
287,APPLPREV_2__credacc_cards_status_52L__NUNIQUE,C,applprev_2,sum of per-partition distinct counts of `credacc_cards_status_52L`. Source meaning: Card status of the previous credit account.
288,CREDIT_BUREAU_A_2__ROW_COUNT,C,credit_bureau_a_2,Number of raw family rows linked to the case.
289,CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MEAN,C,credit_bureau_a_2,global non-null mean reconstructed from partial sums/counts of `collater_valueofguarantee_1124L`. Source meaning: Value of collateral for active contract.
290,CREDIT_BUREAU_A_2__collater_valueofguarantee_1124L__MAX,C,credit_bureau_a_2,maximum of `collater_valueofguarantee_1124L`. Source meaning: Value of collateral for active contract.
291,CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,C,credit_bureau_a_2,global non-null mean reconstructed from partial sums/counts of `collater_valueofguarantee_876L`. Source meaning: Value of collateral for closed contract.
292,CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MAX,C,credit_bureau_a_2,maximum of `collater_valueofguarantee_876L`. Source meaning: Value of collateral for closed contract.
293,CREDIT_BUREAU_A_2__pmts_dpd_1073P__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_dpd_1073P`. Source meaning: Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment)."
294,CREDIT_BUREAU_A_2__pmts_dpd_1073P__MAX,C,credit_bureau_a_2,"maximum of `pmts_dpd_1073P`. Source meaning: Days past due of the payment for the active contract (num_group1 - existing contract, num_group2 - payment)."
295,CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_dpd_303P`. Source meaning: Days past due of the payment for terminated contract according to credit bureau (num_group1 - terminated contract, num_group2 - payment)."
296,CREDIT_BUREAU_A_2__pmts_dpd_303P__MAX,C,credit_bureau_a_2,"maximum of `pmts_dpd_303P`. Source meaning: Days past due of the payment for terminated contract according to credit bureau (num_group1 - terminated contract, num_group2 - payment)."
297,CREDIT_BUREAU_A_2__pmts_month_158T__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_month_158T`. Source meaning: Month of payment for a closed contract (num_group1 - existing contract, num_group2 - payment)."
298,CREDIT_BUREAU_A_2__pmts_month_158T__MAX,C,credit_bureau_a_2,"maximum of `pmts_month_158T`. Source meaning: Month of payment for a closed contract (num_group1 - existing contract, num_group2 - payment)."
299,CREDIT_BUREAU_A_2__pmts_month_706T__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_month_706T`. Source meaning: Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment)."
300,CREDIT_BUREAU_A_2__pmts_month_706T__MAX,C,credit_bureau_a_2,"maximum of `pmts_month_706T`. Source meaning: Month of payment for active contract (num_group1 - terminated contract, num_group2 - payment)."
301,CREDIT_BUREAU_A_2__pmts_overdue_1140A__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_overdue_1140A`. Source meaning: Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
302,CREDIT_BUREAU_A_2__pmts_overdue_1140A__MAX,C,credit_bureau_a_2,"maximum of `pmts_overdue_1140A`. Source meaning: Overdue payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
303,CREDIT_BUREAU_A_2__pmts_overdue_1152A__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_overdue_1152A`. Source meaning: Overdue payment for a closed contract (num_group1 - terminated contract, num_group2 - payment)."
304,CREDIT_BUREAU_A_2__pmts_overdue_1152A__MAX,C,credit_bureau_a_2,"maximum of `pmts_overdue_1152A`. Source meaning: Overdue payment for a closed contract (num_group1 - terminated contract, num_group2 - payment)."
305,CREDIT_BUREAU_A_2__pmts_year_1139T__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_year_1139T`. Source meaning: Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
306,CREDIT_BUREAU_A_2__pmts_year_1139T__MAX,C,credit_bureau_a_2,"maximum of `pmts_year_1139T`. Source meaning: Year of payment for an active contract (num_group1 - existing contract, num_group2 - payment)."
307,CREDIT_BUREAU_A_2__pmts_year_507T__MEAN,C,credit_bureau_a_2,"global non-null mean reconstructed from partial sums/counts of `pmts_year_507T`. Source meaning: Payment year for a closed credit contract (num_group1 - terminated contract, num_group2 - payment)."
308,CREDIT_BUREAU_A_2__pmts_year_507T__MAX,C,credit_bureau_a_2,"maximum of `pmts_year_507T`. Source meaning: Payment year for a closed credit contract (num_group1 - terminated contract, num_group2 - payment)."
309,CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,C,credit_bureau_a_2,sum of per-partition distinct counts of `collater_typofvalofguarant_298M`. Source meaning: Collateral valuation type (active contract).
310,CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,C,credit_bureau_a_2,sum of per-partition distinct counts of `collater_typofvalofguarant_407M`. Source meaning: Collateral valuation type (closed contract).
311,CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,C,credit_bureau_a_2,sum of per-partition distinct counts of `collaterals_typeofguarante_359M`. Source meaning: Type of collateral that was used as a guarantee for a closed contract.
312,CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,C,credit_bureau_a_2,sum of per-partition distinct counts of `collaterals_typeofguarante_669M`. Source meaning: Collateral type for the active contract.
313,CREDIT_BUREAU_A_2__subjectroles_name_541M__NUNIQUE,C,credit_bureau_a_2,"sum of per-partition distinct counts of `subjectroles_name_541M`. Source meaning: Name of subject role in closed credit contract (num_group1 - terminated contract, num_group2 - subject roles)."
314,CREDIT_BUREAU_A_2__subjectroles_name_838M__NUNIQUE,C,credit_bureau_a_2,"sum of per-partition distinct counts of `subjectroles_name_838M`. Source meaning: Name of subject role in active credit contract (num_group1 - existing contract, num_group2 - subject roles)."
315,CREDIT_BUREAU_B_2__ROW_COUNT,C,credit_bureau_b_2,Number of raw family rows linked to the case.
316,CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MEAN,C,credit_bureau_b_2,"global non-null mean reconstructed from partial sums/counts of `pmts_dpdvalue_108P`. Source meaning: Value of past due payment for active contract (num_group1 - existing contract, num_group2 - payment)."
317,CREDIT_BUREAU_B_2__pmts_dpdvalue_108P__MAX,C,credit_bureau_b_2,"maximum of `pmts_dpdvalue_108P`. Source meaning: Value of past due payment for active contract (num_group1 - existing contract, num_group2 - payment)."
318,CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MEAN,C,credit_bureau_b_2,"global non-null mean reconstructed from partial sums/counts of `pmts_pmtsoverdue_635A`. Source meaning: Active contract that has overdue payments (num_group1 - existing contract, num_group2 - payment)."
319,CREDIT_BUREAU_B_2__pmts_pmtsoverdue_635A__MAX,C,credit_bureau_b_2,"maximum of `pmts_pmtsoverdue_635A`. Source meaning: Active contract that has overdue payments (num_group1 - existing contract, num_group2 - payment)."
320,CREDIT_BUREAU_B_2__pmts_date_1107D__MIN_GAP,C,credit_bureau_b_2,"minimum decision-date gap of `pmts_date_1107D`. Source meaning: Payment date for an active contract according to credit bureau (num_group1 - contract, num_group2 - payment)."
321,CREDIT_BUREAU_B_2__pmts_date_1107D__MAX_GAP,C,credit_bureau_b_2,"maximum decision-date gap of `pmts_date_1107D`. Source meaning: Payment date for an active contract according to credit bureau (num_group1 - contract, num_group2 - payment)."
322,PERSON_2__ROW_COUNT,C,person_2,Number of raw family rows linked to the case.
323,PERSON_2__empls_employedfrom_796D__MIN_GAP,C,person_2,"minimum decision-date gap of `empls_employedfrom_796D`. Source meaning: Start of employment (num_group1 - person, num_group2 - employment)."
324,PERSON_2__empls_employedfrom_796D__MAX_GAP,C,person_2,"maximum decision-date gap of `empls_employedfrom_796D`. Source meaning: Start of employment (num_group1 - person, num_group2 - employment)."
325,PERSON_2__addres_district_368M__NUNIQUE,C,person_2,sum of per-partition distinct counts of `addres_district_368M`. Source meaning: District of the person's address.
326,PERSON_2__addres_role_871L__NUNIQUE,C,person_2,sum of per-partition distinct counts of `addres_role_871L`. Source meaning: Role of person's address.
327,PERSON_2__addres_zip_823M__NUNIQUE,C,person_2,sum of per-partition distinct counts of `addres_zip_823M`. Source meaning: Zip code of the address.
328,PERSON_2__conts_role_79M__NUNIQUE,C,person_2,sum of per-partition distinct counts of `conts_role_79M`. Source meaning: Type of contact role of a person.
329,PERSON_2__empls_economicalst_849M__NUNIQUE,C,person_2,"sum of per-partition distinct counts of `empls_economicalst_849M`. Source meaning: The economical status of the person (num_group1 - person, num_group2 - employment)."
330,PERSON_2__empls_employer_name_740M__NUNIQUE,C,person_2,"sum of per-partition distinct counts of `empls_employer_name_740M`. Source meaning: Employer's name (num_group1 - person, num_group2 - employment)."
331,PERSON_2__relatedpersons_role_762T__NUNIQUE,C,person_2,"sum of per-partition distinct counts of `relatedpersons_role_762T`. Source meaning: Relationship type of a client's related person (num_group1 - person, num_group2 - related person)."
